date,book,chapter_slug,word_count,sources_count,verify_flag_count,pantry_notes_found,pantry_lib_files_used,thin_pantry,mechanism_explained,contested_claims_flagged
2026-05-21,codex-for-teachers,01-introduction-the-line,2874,4,1,yes,0,no,"Interleaved structure: teacher build + classroom activity per chapter so the teacher does the same discipline they teach",0
2026-05-21,codex-for-teachers,02-first-codex-session,2864,4,2,yes,0,no,"The agentic loop (gather context, plan, execute, verify, repeat) with Ask Mode / Code Mode as the human interruption point",0
2026-05-21,codex-for-teachers,03-agents-md,2796,4,0,yes,0,no,"AGENTS.md is auto-loaded by Codex at session start; 32 KiB combined-size limit; 200-line effective ceiling for instruction-following",0
2026-05-21,codex-for-teachers,04-prompts-to-specifications,2962,2,0,yes,0,no,"The five-element specification format (operation, invariants, context, output format, negative constraint) converts intent into prompts Codex can act on",0
2026-05-21,codex-for-teachers,05-handoff-conditions,2414,3,0,yes,0,no,"Handoff conditions: specific, testable, binary checks between build steps; the revert-and-respecify rule after two failed corrections",1
2026-05-21,codex-for-teachers,06-five-supervisory-capacities,2991,2,0,yes,0,no,"Five named supervisory capacities (PA, PF, TO, IJ, EI) decompose the human work that is structurally weak for current LLMs",1
2026-05-21,codex-for-teachers,07-best-of-n,2654,1,1,yes,0,no,"Generate multiple Codex responses to the same task; evaluate against pedagogical criteria not in the spec; the selection judgment is the irreducibly human work",1
2026-05-21,codex-for-teachers,08-grading-tool-build,3258,2,0,yes,0,no,"Full conducting discipline applied to the grading-tool build across five phases; AGENTS.md grows; each phase has spec + handoff + capacity label",0
2026-05-21,codex-for-teachers,09-dangerous-middle,3318,5,0,yes,0,no,"The dangerous middle: outputs that pass every handoff condition and are still wrong; ESL/AAVE bias data shows where the disagreement clusters; narrowing principle (Codex flags patterns; teacher writes feedback)",3
2026-05-21,codex-for-teachers,10-task-queue,2424,3,0,yes,0,no,"Codex task queue runs parallel tasks in isolated cloud contexts; each return requires the same supervisory evaluation as a main-session output",0
2026-05-21,codex-for-teachers,11-bridge-tools-that-change-whats-possible,1233,1,0,yes,0,no,"The motivation shift from productivity (faster teacher work) to possibility (classroom experiences that didn't previously exist) — Seth's voice carries the bridge",0
2026-05-21,codex-for-teachers,12-three-file-system,2722,1,0,yes,0,no,"Brutalist three-file system (AGENTS.md technical, DESIGN.md visual, PROJECT.md intent layer) separates three concerns and protects against Codex's improvisation drift",0
2026-05-21,codex-for-teachers,13-building-the-simulation,2799,2,1,yes,0,no,"Full conducting discipline applied at simulation scale; screenshot-iterate for visual states; the scope-creep moment handled by logging to PROJECT.md Layer 2",0
2026-05-21,codex-for-teachers,14-deploying-in-class,2752,2,1,yes,0,no,"The three-check verification (first-30-seconds; informative failure states; progression from easy to hard) closes the gap between works-on-my-terminal and works-in-classroom",0
2026-05-21,codex-for-teachers,15-teaching-the-discipline,2647,3,0,yes,0,no,"Build-log-as-assessment shifts the graded artifact from the code to the supervisory work; the teacher's three built artifacts become teaching material",0
2026-05-21,codex-for-teachers,16-post-build-document,2888,1,0,yes,0,no,"Post-build document (five sections) consolidates the build's lessons; AGENTS.md plus post-build document are the two artifacts the teacher carries forward",0
